guid/image/axis,value
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/z,9.457383
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/x,-4.018654
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/y,-0.053295836
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0000/z,9.457383
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0001/x,-4.018654
0729ab2d-7fb0-4799-975f-c38fd350bf9c/0001/y,-0.053295836
